"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01120";"ACRELANDIA";"01120";"ACRELANDIA";8;11;"Prefeito";6903;20;2;6903;20;5694;1209;"N";5323;68;303;0;0;-3;"23:13:01";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01120";"ACRELANDIA";"01120";"ACRELANDIA";8;13;"Vereador";6903;20;2;6903;20;5694;1209;"N";4918;50;122;604;0;-3;"23:13:01";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";3633;12;1;3633;12;3274;359;"N";3044;33;197;0;0;-3;"22:25:33";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";3633;12;1;3633;12;3274;359;"N";2754;15;156;349;0;-3;"22:25:33";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01058";"BRASILEIA";"01058";"BRASILEIA";6;11;"Prefeito";12880;40;7;12880;40;10779;2101;"N";9931;134;714;0;0;-3;"20:34:10";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01058";"BRASILEIA";"01058";"BRASILEIA";6;13;"Vereador";12880;40;7;12880;40;10779;2101;"N";9346;95;399;939;0;-3;"20:34:10";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;11;"Prefeito";4916;14;0;4916;14;4337;579;"N";3927;65;345;0;0;-3;"23:11:32";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;13;"Vereador";4916;14;0;4916;14;4337;579;"N";3675;27;192;443;0;-3;"23:11:32";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;11;"Prefeito";4813;14;0;4813;14;4022;791;"N";3643;44;335;0;0;-3;"21:32:24";"03/10/2004"
"25/10/2021";"13:23:52";"2004";2;"Eleição Ordinária";1;200412;"Eleições Municipais de 2004 - 1. turno";"03/10/2004";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;13;"Vereador";4813;14;0;4813;14;4022;791;"N";3311;27;214;470;0;-3;"21:32:24";"03/10/2004"
