"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;11;"Prefeito";9660;32;4;9660;32;7677;1983;"N";7248;146;283;0;0;0;"19:25:36";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01120";"ACRELÂNDIA";"01120";"ACRELÂNDIA";8;13;"Vereador";9660;32;4;9660;32;7677;1983;"N";6744;121;155;657;0;0;"19:25:36";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;11;"Prefeito";4991;20;0;4991;20;4454;537;"N";4250;33;171;0;0;0;"19:30:41";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01570";"ASSIS BRASIL";"01570";"ASSIS BRASIL";6;13;"Vereador";4991;20;0;4991;20;4454;537;"N";3878;35;115;426;0;0;"19:30:41";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01058";"BRASILÉIA";"01058";"BRASILÉIA";6;11;"Prefeito";16345;59;4;16345;59;13568;2777;"N";12916;149;503;0;0;0;"19:25:35";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01058";"BRASILÉIA";"01058";"BRASILÉIA";6;13;"Vereador";16345;59;4;16345;59;13568;2777;"N";12053;146;250;1119;0;0;"19:25:35";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;11;"Prefeito";6728;23;1;6728;23;6011;717;"N";5678;87;246;0;0;0;"18:44:54";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01007";"BUJARI";"01007";"BUJARI";9;13;"Vereador";6728;23;1;6728;23;6011;717;"N";5255;74;124;558;0;0;"18:44:54";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;11;"Prefeito";7366;28;2;7366;28;6114;1252;"N";5782;59;273;0;0;0;"19:20:30";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01015";"CAPIXABA";"01015";"CAPIXABA";8;13;"Vereador";7366;28;2;7366;28;6114;1252;"N";5364;57;135;558;0;0;"19:20:30";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01074";"CRUZEIRO DO SUL";"01074";"CRUZEIRO DO SUL";4;11;"Prefeito";49728;179;24;49728;179;38097;11631;"N";35498;442;2157;0;0;0;"21:42:55";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01074";"CRUZEIRO DO SUL";"01074";"CRUZEIRO DO SUL";4;13;"Vereador";49728;179;24;49728;179;38097;11631;"N";34460;397;674;2566;0;0;"21:42:55";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01112";"EPITACIOLÂNDIA";"01112";"EPITACIOLÂNDIA";6;11;"Prefeito";10139;34;1;10139;34;8394;1745;"N";7928;97;369;0;0;0;"19:30:41";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01112";"EPITACIOLÂNDIA";"01112";"EPITACIOLÂNDIA";6;13;"Vereador";10139;34;1;10139;34;8394;1745;"N";7261;107;265;761;0;0;"19:30:41";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01139";"FEIJÓ";"01139";"FEIJÓ";7;11;"Prefeito";17973;69;11;17973;69;14145;3828;"N";13267;140;738;0;0;0;"13:36:37";"04/12/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01139";"FEIJÓ";"01139";"FEIJÓ";7;13;"Vereador";17973;69;11;17973;69;14145;3828;"N";11742;150;1139;1114;0;0;"13:36:37";"04/12/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01104";"JORDÃO";"01104";"JORDÃO";5;11;"Prefeito";4195;16;1;4195;16;3442;753;"N";3255;18;169;0;0;0;"17:54:02";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01104";"JORDÃO";"01104";"JORDÃO";5;13;"Vereador";4195;16;1;4195;16;3442;753;"N";3071;8;175;188;0;0;"17:54:02";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01554";"MANOEL URBANO";"01554";"MANOEL URBANO";3;11;"Prefeito";5901;17;0;5901;17;4999;902;"N";4653;46;300;0;0;0;"20:01:12";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01554";"MANOEL URBANO";"01554";"MANOEL URBANO";3;13;"Vereador";5901;17;0;5901;17;4999;902;"N";4394;43;206;356;0;0;"20:01:12";"07/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01040";"MARECHAL THAUMATURGO";"01040";"MARECHAL THAUMATURGO";4;11;"Prefeito";8575;30;0;8575;30;6953;1622;"N";6720;22;211;0;0;0;"01:02:55";"08/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01040";"MARECHAL THAUMATURGO";"01040";"MARECHAL THAUMATURGO";4;13;"Vereador";8575;30;0;8575;30;6953;1622;"N";6348;17;147;441;0;0;"01:02:55";"08/10/2012"
"26/07/2021";"15:42:21";"2012";2;"Eleição Ordinária";1;47;"Eleição Municipal 2012";"07/10/2012";"M";"AC";"01090";"MÂNCIO LIMA";"01090";"MÂNCIO LIMA";4;11;"Prefeito";10561;36;4;10561;36;8810;1751;"N";8438;64;308;0;0;0;"20:11:22";"07/10/2012"
